# Time-averaged data for fix stress
# TimeStep c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
332000 -112.79 -109.664 -96.31 -49.6295 50.7348 -1.08125
334000 -227.81 -11.4004 -76.382 -87.318 -29.57 15.8444
336000 -176.521 162.753 2.81726 11.8636 49.6877 -146.206
338000 -158.854 -64.957 42.6018 92.5955 130.102 -64.496
340000 -27.7452 103.135 68.9537 5.7993 -119.255 -86.6034
342000 -24.8351 4.90789 50.5933 34.7512 -35.161 -82.3681
344000 1.93593 5.80432 71.126 11.3856 -8.67138 -189.286
346000 12.662 313.242 2.14652 39.4546 0.709817 2.58241
348000 13.6624 250.651 -150.663 8.62164 -55.5058 6.7058
350000 61.8905 51.7092 -218.629 43.8395 9.43985 -9.25911
352000 -75.6936 -27.7412 -74.8548 -15.6134 -51.8418 63.9208
354000 -33.4347 -90.4307 -38.323 39.0543 -34.3975 93.6668
356000 108.105 -15.3514 -106.763 -1.97813 -54.1523 96.638
358000 108.28 -40.0113 54.7605 -94.8514 119.845 -64.0616
360000 -18.74 -11.9994 -185.045 -15.9419 -19.792 -95.5337
362000 5.90656 105.225 22.3894 37.5453 -92.2965 -125.402
364000 178.001 110.358 -216.792 -20.2872 8.40715 22.1042
366000 128.349 149.998 -214.319 -74.2623 -151.907 103.903
368000 -17.2555 99.2581 -124.366 -73.1104 -247.161 -4.43866
370000 -3.52571 32.6804 -12.6156 -9.93786 -33.5086 28.1042
372000 -11.576 -38.7164 -138.325 -49.2025 -24.5788 -21.6411
374000 -8.08518 -151.467 62.354 -17.5132 -38.6536 -70.6303
376000 141.936 -70.4627 157.975 52.0617 -102.504 -87.5131
378000 76.3682 106.474 -57.7228 59.8944 -34.0845 -7.60112
380000 120.698 146.774 -110.867 -41.9332 38.3003 -30.0688
382000 96.3796 -71.9762 3.04553 -90.72 7.74057 56.8836
384000 181.855 60.2628 -138.423 -92.4908 -30.114 79.7181
386000 76.8872 -78.5863 -164.057 -62.0531 -24.9906 81.7286
388000 213.855 -62.4946 15.9833 46.2494 -25.1029 -26.7144
390000 165.674 74.1779 -19.5752 -111.575 2.62791 22.1938
392000 -53.0139 146.149 59.6353 -113.644 -82.5105 -120.705
394000 -162.907 156.789 -138.179 2.5726 -82.3248 43.5547
396000 -172.422 -70.649 -34.5555 -16.2543 -60.0363 57.482
398000 -110.506 8.44141 201.287 30.5047 -64.0505 60.6219
400000 29.3928 79.0925 36.0391 -85.0497 -49.3305 40.399
402000 73.9746 -15.0047 -109.884 -26.9978 9.87836 2.98962
404000 28.852 -24.2665 42.1871 -13.2278 -58.1651 56.9304
406000 41.8787 66.5162 28.7054 -92.981 16.2684 94.3975
408000 65.1772 -44.3328 67.111 51.5771 130.565 146.165
410000 -160.28 51.5686 58.7901 -6.74295 -55.8375 32.7679
412000 -149 -5.84142 -54.708 -102.879 -0.311331 -43.705
414000 -76.2368 179.532 98.1626 -101.186 -129.367 2.50175
416000 -45.3849 -174.329 -113.512 -17.5633 136.211 17.3403
418000 80.1761 -39.8938 16.4092 105.502 63.9725 14.8954
420000 -188.811 -78.5291 106.93 146.546 -73.0384 134.345
422000 -6.92235 -35.5832 160.732 23.6892 11.6306 85.3479
424000 -7.95428 -20.7169 -90.0263 -62.0557 47.7542 -36.6688
426000 46.1634 -17.9204 118.464 -32.9977 4.20619 18.8727
428000 229.75 125.163 86.1677 17.8963 91.0172 200.743
430000 -66.647 -138.812 -64.0017 -49.5241 9.04539 106.644
432000 100.238 -103.741 -70.3948 -35.0801 -48.581 69.7948
434000 65.7802 -19.0796 11.9983 24.1009 -10.2293 -14.2495
436000 11.8774 -3.12616 39.4018 -63.1207 38.1002 25.4647
438000 -90.252 114.733 136.531 -15.1583 118.025 -11.9994
440000 -76.0594 -15.5347 74.3486 -47.3253 139.959 -59.6104
442000 -212.921 62.6346 96.7325 61.5637 -61.4817 -43.5766
444000 -180.013 -4.60542 7.45137 3.74526 -106.869 -11.1111
446000 -106.322 -109.755 131.061 -90.4702 -63.7033 7.47836
448000 -113.221 20.6007 -36.5001 14.8642 70.4863 -122.488
450000 -176.785 91.6747 76.6838 90.4723 -105.415 -105.638
452000 -176.979 115.391 60.9867 16.6888 89.1326 -111.116
454000 -83.3996 -57.2883 126.502 95.4038 -31.3983 66.8316
456000 112.474 -82.2744 111.351 154.552 -65.4016 -117.528
458000 46.3002 -116.063 38.587 61.2315 -44.4538 37.1711
460000 49.2784 -127.641 21.89 77.8952 -53.7761 25.9162
462000 195.984 -65.2658 42.3567 44.4363 -50.522 15.2239
464000 132.03 -16.4558 -90.0493 127.608 -80.7461 -21.0185
466000 63.151 -213.954 -1.69733 25.3831 8.59296 -158.695
