# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
322000 2.26605e-08 -2.26366e-09 -5.6298e-08 -3.59012e-08
324000 -3.45942e-08 1.99804e-08 1.74005e-08 2.78672e-09
326000 1.05069e-08 -1.43137e-08 -1.3527e-08 -1.73338e-08
328000 -3.93557e-09 -4.66888e-08 3.2124e-08 -1.85003e-08
330000 -5.56195e-10 1.62926e-08 -5.26231e-08 -3.68867e-08
332000 2.76527e-08 2.45911e-08 6.01256e-08 1.12369e-07
334000 -2.37142e-08 -1.03914e-08 -1.84749e-08 -5.25805e-08
336000 4.47816e-08 -2.00782e-08 1.46118e-08 3.93152e-08
338000 -3.55579e-08 2.09765e-08 -2.7861e-08 -4.24425e-08
340000 1.16893e-08 -2.42317e-08 5.60601e-08 4.35176e-08
342000 -2.31016e-08 3.28418e-08 8.21268e-09 1.79528e-08
344000 -1.09174e-08 -7.85148e-09 2.37346e-09 -1.63954e-08
346000 2.63367e-09 4.78027e-08 2.44218e-09 5.28785e-08
348000 -3.43324e-08 1.75013e-08 -3.74419e-09 -2.05753e-08
350000 -1.29703e-08 -3.18871e-08 3.0818e-08 -1.40394e-08
352000 3.62606e-08 -7.74434e-09 5.90913e-08 8.76076e-08
354000 -8.78435e-09 -5.69245e-08 -4.51574e-08 -1.10866e-07
356000 -2.91852e-08 -1.78799e-09 3.92028e-08 8.22958e-09
358000 -1.53231e-09 1.93164e-08 6.17941e-08 7.95781e-08
360000 -3.06591e-08 1.0985e-08 -1.56437e-08 -3.53178e-08
362000 1.63142e-08 4.73599e-08 -3.63342e-08 2.734e-08
364000 -2.80035e-08 -2.14303e-08 -6.78406e-09 -5.62178e-08
366000 -1.90826e-08 2.06099e-09 -2.74673e-08 -4.4489e-08
368000 9.1658e-09 -8.60383e-08 3.04896e-08 -4.63828e-08
370000 6.23705e-09 5.72147e-09 2.85256e-08 4.04841e-08
372000 1.7973e-09 -3.09187e-08 2.0228e-08 -8.89344e-09
374000 2.28497e-09 3.31519e-08 1.87764e-08 5.42132e-08
376000 1.9117e-08 -3.24133e-08 -4.85911e-08 -6.18874e-08
378000 -4.51825e-08 -1.73737e-08 4.23287e-08 -2.02275e-08
380000 8.87521e-09 -1.15309e-08 -2.28948e-08 -2.55506e-08
382000 -3.8148e-08 -3.18979e-08 -3.16886e-08 -1.01735e-07
384000 -1.26748e-08 -1.52231e-08 1.66934e-08 -1.12044e-08
386000 3.33239e-08 -3.41343e-09 -1.78411e-08 1.20693e-08
388000 -7.79428e-09 1.78842e-08 1.0261e-08 2.03509e-08
390000 1.63223e-08 1.44243e-08 2.32981e-08 5.40447e-08
392000 -1.79032e-09 2.48e-08 2.10893e-09 2.51186e-08
394000 -1.89649e-09 -2.521e-08 -1.12684e-08 -3.83749e-08
396000 -4.01822e-09 -8.80735e-09 1.59861e-08 3.16048e-09
398000 2.20789e-09 5.20944e-08 -1.42379e-10 5.41599e-08
400000 -2.54997e-08 -5.15415e-08 -4.14881e-08 -1.18529e-07
402000 -2.23795e-08 1.21172e-09 -6.19363e-09 -2.73614e-08
404000 1.75854e-08 5.05081e-09 3.57593e-08 5.83955e-08
406000 -1.11671e-08 1.25306e-08 -9.332e-09 -7.96845e-09
408000 -1.75293e-08 4.81312e-08 2.06031e-08 5.12049e-08
410000 3.32981e-08 2.66249e-08 3.77944e-08 9.77174e-08
