# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
246000 -66.8237 -121.734 -8.8732 81.3998 -18.9144 -62.4854
248000 -75.4248 -55.3757 -8.86336 20.333 -5.40383 -14.9292
250000 -31.9828 -46.5449 29.2415 23.3029 77.9736 -101.277
252000 -42.2525 6.61077 -96.7393 -116.239 185.867 -69.628
254000 -10.8786 37.7031 43.563 -18.8032 32.7312 -13.928
256000 -31.7502 66.2302 51.6376 39.4441 -132.58 93.1356
258000 2.79472 90.5887 61.1542 -62.6821 -137.659 200.341
260000 2.45733 69.9286 111.822 -52.5724 -2.27624 54.8486
262000 58.3119 34.5628 101.375 2.55687 -133.052 130.495
264000 -55.2326 6.21478 43.7096 101.939 -225.514 123.575
266000 44.5995 -64.0983 -9.7269 140.494 -119.935 -20.559
268000 19.4899 -64.9989 39.7745 154.81 -125.966 -28.844
270000 57.3991 -159.347 -35.268 226.288 -71.2819 -155.007
272000 83.1181 53.1801 -68.5122 214.756 -132.367 -82.3891
274000 59.2526 -73.5433 -14.4796 161.269 -156.771 -4.49745
276000 9.16488 -38.697 -18.7938 -52.4014 -84.2172 136.619
278000 -68.3072 -36.8188 66.5423 20.0335 -40.9084 20.8749
280000 50.0471 -136.041 54.4478 263.669 -234.901 -28.768
282000 10.7789 -34.6075 -34.3527 187.533 -13.9632 -173.569
284000 16.7317 92.456 -79.06 111.177 -73.1395 -38.0373
286000 7.5323 84.2109 14.1082 66.398 47.7687 -114.167
288000 25.6024 18.7009 63.4694 43.1958 61.2612 -104.457
290000 19.9225 34.0641 18.0907 -90.4927 42.8839 47.6088
292000 -89.6514 3.49259 -107.811 39.7684 -134.691 94.9227
294000 -107.525 73.1835 36.1479 175.02 -202.753 27.7336
296000 -62.8935 18.9645 0.0472416 131.541 -203.795 72.254
298000 28.3222 123.395 -60.5309 47.8849 -115.217 67.3322
300000 76.406 -4.21835 -11.6959 -39.3005 -104.189 143.49
302000 118.728 6.91119 -59.717 -76.595 -21.4262 98.0212
