# Time-averaged data for fix stress
# TimeStep c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
286000 -196.804 -53.8126 -187.65 -101.928 13.3607 18.6719
288000 -436.473 -300.324 -101.809 -77.2258 -21.6563 91.6406
290000 -365.823 -197.785 -45.1678 16.7834 41.7856 72.8604
292000 -373.922 -278.487 -191.218 54.1131 -27.55 75.5944
294000 1.00049 -105.938 37.5365 68.2212 14.4787 50.9607
296000 -40.5377 40.4083 174.539 82.9821 50.9533 -9.50218
298000 -21.8563 -116.126 -14.6648 47.4779 -64.9767 115.286
300000 -83.8076 -125.342 -205.567 163.423 22.2043 113.053
302000 -133.677 117.203 -168.273 147.948 85.7111 -26.1577
304000 -7.81071 62.5478 9.13755 176.997 83.7543 44.0055
306000 -227.715 -212.56 -236.089 131.682 38.9919 42.8174
308000 -163.935 -169.611 -28.8088 96.1541 56.5644 40.4043
310000 -434.672 -146.142 -105.126 102.009 131.415 -60.6731
312000 -273.71 -132.404 -2.68964 -30.5864 -53.4904 -155.591
314000 -248.615 -87.9395 -173.702 12.5157 -81.9555 -3.54409
316000 -334.254 -103.695 -11.486 -97.6547 128.202 32.7301
318000 23.7799 55.655 -109.579 -258.125 109.33 57.6141
320000 69.4793 -41.2308 -104.142 -89.4297 93.8855 87.7547
322000 177.779 141.596 215.39 6.50666 -86.5051 90.7261
324000 134.61 102.56 170.499 38.3621 -42.5821 162.286
326000 -133.765 -86.5998 12.8349 -27.0225 -57.1061 4.74155
328000 128.74 71.3655 158.896 18.3846 -79.3571 73.5067
330000 200.134 181.45 -12.5426 16.0636 -72.7118 -67.6335
332000 270.523 151.985 -7.00503 57.5779 44.8274 -55.487
334000 125.934 -104.015 19.8336 166.935 0.367416 47.1632
336000 -212.601 -251.776 -227.343 194.407 -67.6158 -114.729
338000 156.005 -99.0353 24.0863 46.4132 -1.87256 -87.8073
340000 7.33149 -164.579 31.1649 87.9517 1.81018 -106.156
342000 97.2717 -89.0241 -301.095 -26.8183 56.9054 -10.304
344000 -60.5799 -114.254 -284.826 -18.2843 28.9127 48.8478
346000 13.9705 145.721 -26.8526 83.7921 9.20325 19.7875
348000 94.884 164.625 183.67 -64.9032 158.015 85.4972
350000 27.3263 284.586 83.6984 -10.5616 66.2009 -14.3878
352000 8.81876 297.694 186.844 -104.403 76.1999 -102.969
354000 -83.3903 116.669 41.9294 -0.197893 11.8619 -84.2662
356000 -232.454 -254.569 -108.863 -24.7098 25.3084 -61.9382
358000 -259.33 -251.989 -93.2343 -51.6997 36.7316 -24.3879
360000 -44.8621 27.3996 -3.92168 -14.6475 20.0331 -10.3546
362000 70.3297 92.2186 -16.8831 -38.6454 -95.759 -43.4327
364000 -30.0289 62.8529 -38.1775 -100.387 -86.482 -42.1212
366000 -7.90988 -13.7841 198.31 -88.0608 -77.4225 -149.7
368000 -205.578 -146.724 102.501 -88.7845 -92.817 -196.214
370000 -209.673 -62.6046 -4.69154 -171.975 -88.5491 -86.0867
372000 -116.633 -74.4054 -309.057 -97.6198 -71.4626 -166.769
374000 -113.811 -54.1486 -110.735 -99.7495 -86.4799 -27.9888
376000 -176.895 77.6609 -120.657 -84.864 -86.8449 -29.5737
378000 -168.406 248.108 -235.973 -180.436 -84.5089 8.21058
380000 158.468 147.598 97.1018 -79.2104 29.3351 19.2729
382000 31.1019 163.707 103.513 -92.6675 -35.0093 69.3145
384000 24.5072 163.922 184.787 -124.293 15.7359 48.1261
386000 -30.6254 -5.21613 24.3924 -57.2751 -12.7549 -26.8849
388000 -263.66 -49.5253 -149.835 154.161 -11.5792 50.7704
390000 -174.354 -54.7866 -31.4932 -62.6661 13.2381 77.0037
392000 -173.977 -49.3889 25.1057 -79.045 -52.7291 46.0538
394000 -13.1099 137.382 226.842 36.3655 -163.265 4.77463
396000 104.591 -63.9131 99.5378 8.52535 -38.365 -61.9812
398000 300.512 20.8795 -7.76314 2.48743 -15.7396 -45.0078
400000 -77.1667 -223.943 -118.011 74.9248 0.0460931 -121.937
402000 -141.522 -361.075 -177.586 39.7389 -0.213981 -153.858
404000 106.145 -235.169 -145.188 9.54729 31.7167 -95.2999
406000 86.1555 -122.412 211.709 -74.6553 -41.1381 60.215
408000 40.1208 -197.735 93.8222 -49.956 -17.2772 27.9412
410000 216.141 -33.8764 182.252 -18.2379 -20.409 208.146
412000 50.6332 -95.4006 339.369 27.7445 -46.337 1.65418
414000 76.7494 -201.328 234.298 -20.8126 -41.6287 -104.805
416000 28.4478 144.902 126.689 -100.347 18.5875 -45.5417
418000 -186.486 -61.8909 -155.024 -106.926 125.547 -52.6476
420000 -154.158 -133.562 -199.902 -194.116 26.9844 67.9518
422000 -91.9429 159.673 -160.74 -77.6966 -5.39945 186.232
424000 135.407 187.25 -35.9848 -97.7309 -63.4749 71.5627
426000 203.86 81.3682 -132.893 -68.6094 92.0442 166.988
428000 174.824 -51.4862 21.8514 16.6711 37.1331 185.442
430000 -136.531 -153.276 -31.216 -59.6015 -163.975 -36.7001
432000 -73.6657 97.6448 69.5028 -107.859 -14.0932 -105.92
434000 59.1405 84.1916 86.6847 -43.9189 139.701 -177.207
436000 35.9377 114.835 105.117 -43.8848 140.209 -114.029
438000 -5.81228 -177.153 -60.7424 -16.9676 124.112 -122.471
440000 -83.9916 276.199 57.2669 -77.6951 96.3999 -58.2163
442000 -294.632 -216.525 -145.448 -67.6236 62.4624 64.0078
444000 -307.196 -38.833 17.5065 -35.5024 -44.2893 -10.7831
446000 -46.12 249.644 175.102 9.90782 -75.3413 18.1181
448000 -53.5632 -200.912 -42.4257 7.80277 -55.7091 31.5937
450000 -41.6504 -261.51 -215.342 53.4543 -7.64754 0.39162
452000 -220.533 -234.266 -312.195 133.612 -101.444 22.3058
454000 -244.938 -40.1631 -206.775 58.8771 -26.5578 54.8322
456000 31.7985 -27.9973 -159.543 29.2793 -53.7555 84.6561
458000 -24.8108 29.1175 -164.03 156.78 21.8185 -88.6829
460000 -170.7 -167.161 -222.901 155.231 -84.4669 34.8331
462000 -214.209 -127.076 -213.445 110.758 -38.7449 34.5976
464000 316.7 9.12624 -7.77415 56.4735 -100.579 -0.279028
466000 123.191 -141.266 -249.335 -54.5201 -69.822 -47.1791
468000 -54.2315 -148.142 -113.755 -97.8649 5.83312 -20.7497
470000 1.97582 5.72321 -69.0542 -35.2389 -34.2766 -10.5721
472000 36.6654 8.62064 -139.754 -67.2947 -18.7956 73.8482
474000 84.1827 262.935 -146.788 -137.228 32.0377 83.6272
476000 -17.2969 -9.55755 -30.1945 -35.5955 -10.1571 63.0086
478000 -36.6098 87.6816 -125.967 50.3235 47.4306 -9.59078
480000 295.916 88.6227 122.651 -5.33479 96.4281 -36.0266
482000 55.818 -63.3287 113.193 104.811 -39.8379 11.45
484000 43.5686 -38.6974 138.987 73.7975 59.579 17.3185
486000 27.5473 -256.694 -172.069 62.138 -24.103 44.5588
488000 140.527 -187.444 66.178 193.246 42.4894 49.7139
490000 117.549 -188.167 -45.1564 121.59 -3.47851 73.9872
492000 80.8819 -222.743 -115.984 35.2747 47.993 89.1438
494000 -36.7975 -262.98 -11.3993 178.117 18.3011 135.817
496000 28.3829 -177.379 42.1028 36.5869 92.1376 78.9611
498000 162.724 -154.01 50.976 17.9332 200.156 65.3014
500000 93.6508 -170.967 -31.7402 -101.346 172.667 18.0964
502000 -76.2285 -291.923 3.7549 -108.257 58.812 -85.2865
504000 -54.5351 -204.028 -9.93122 -98.4144 16.1536 -2.05965
506000 -98.1206 -68.8836 158.884 -7.34291 -104.778 12.2377
508000 -236.529 -228.054 -74.6712 18.6648 -12.5612 36.6992
510000 -293.897 -316.14 -106.915 5.4562 -8.46156 -4.39033
512000 -182.096 -16.7374 -90.8752 36.3378 86.9029 84.1938
514000 -0.168336 69.4064 102.42 37.1998 94.4468 -15.9166
516000 6.42575 172.617 401.597 113.666 129.42 19.7691
518000 54.6333 130.653 248.375 4.10884 194.184 66.8408
520000 1.51486 132.749 83.838 17.0343 164.512 91.0555
522000 -12.7291 84.4699 39.638 39.6333 133.708 77.7699
524000 105.263 144.842 255.43 -126.597 140.272 -0.687194
526000 254.937 78.0407 307.998 -112.307 -62.539 126.792
528000 52.8632 -68.4203 83.7473 -175.982 15.7101 52.2939
530000 170.967 133.844 -26.3515 -31.5429 -51.4461 -65.8596
532000 -9.29609 171.154 -266.816 5.59078 -75.8368 -35.6191
534000 77.5476 37.1379 -278.744 4.3266 -132.3 90.7538
536000 71.01 -43.4106 -197.247 57.9416 -125.894 45.0653
538000 252.555 74.6049 10.2788 69.1202 16.447 27.6284
540000 155.296 -188.583 -44.1228 -7.03444 -41.2668 -2.57736
542000 151.016 42.2076 -33.604 -51.5961 -106.785 22.5173
544000 236.79 168.442 54.2911 33.803 -69.6951 -69.9066
546000 -286.827 -13.5584 -78.2141 113.749 6.08017 -122.605
548000 -412.671 39.8442 99.6612 -73.2684 92.1721 -131.891
550000 -356.519 17.7522 45.5036 23.4235 12.3761 -72.3125
552000 -201.735 -274.073 -286.294 -111.186 69.5856 121.511
554000 -354.914 -232.154 -414.522 -108.17 -27.9991 75.1986
556000 -166.797 -100.847 -115.757 -99.9727 -57.6266 107.207
558000 -341.45 -199.713 -212.709 -110.729 -57.5368 22.2002
560000 -142.483 -75.5867 -317.036 -64.827 -69.3483 -12.6389
562000 177.162 128.95 -60.0249 -80.9994 33.1041 -87.2749
564000 -100.605 116.581 -118.333 -89.007 55.1722 -41.6709
566000 63.4253 -9.61217 -89.4916 -36.6947 -75.0255 97.866
568000 -176.984 -203.152 -4.75171 -37.1473 1.37708 11.3078
570000 103.164 21.6383 90.1508 61.7819 -8.70415 -27.3782
572000 -134.166 92.5135 -128.729 27.8595 28.6892 -47.3024
574000 -268.609 -37.9338 -182.145 -2.66442 -56.3064 22.8229
576000 -3.34397 18.2619 -40.2813 -25.3997 -13.2624 8.1187
578000 -7.82918 -43.3469 -112.506 -75.9959 4.26248 -15.6469
580000 -22.0187 -241.803 -289.085 -128.611 -26.1098 -8.42904
582000 76.6537 -31.4684 -38.775 -102.31 -75.6413 -59.9693
584000 -418.15 -323.428 -297.31 -118.962 -88.2301 -84.5472
586000 -211 -175.313 -169.449 20.5104 24.7183 -64.9762
588000 -212.387 -251.47 -207.047 -81.84 -59.5079 -43.4188
590000 -114.512 -17.2992 9.4702 -44.4405 1.69513 -70.7055
592000 120.307 -37.3443 176.605 -0.271066 -120.548 -57.9904
594000 -182.78 -377.433 -133.045 -87.5051 -83.6615 -118.993
596000 -412.561 -353.606 -137.931 40.4898 -11.5203 19.0382
598000 -281.425 -100.161 38.1864 4.15152 -54.5066 -20.1562
600000 -96.8713 -112.045 68.4713 42.9045 -13.0376 -102.521
602000 122.48 -13.7076 165.181 -60.2035 82.8334 -22.6021
604000 -37.0383 -143.714 -42.7685 62.037 10.1557 -4.04839
606000 165.356 155.309 80.6988 34.591 -6.07682 -24.5961
608000 -33.4676 77.3406 -54.639 -19.9126 -88.1571 -5.0477
610000 -154.863 -57.5106 -79.1146 -69.4011 -228.995 -131.229
612000 -142.086 -117.392 -103.187 35.5916 -137.445 -231.255
614000 193.543 -57.9907 -44.7516 -13.3271 -69.5287 -224.555
616000 111.632 143.401 30.6139 -80.1929 -115.367 -122.146
618000 -87.2281 -175.41 4.89044 70.5841 -5.00282 -81.7564
620000 162.497 -28.6844 25.1389 -78.5031 21.4362 0.993403
622000 100.561 -237.209 -134.747 16.1602 -4.72579 -50.4004
624000 230.21 190.566 128.082 -67.8651 32.9996 -195.733
626000 224.311 289.895 149.203 -105.97 44.4516 9.52852
628000 233.37 379.886 219.215 -158.534 35.6492 -51.7981
630000 -5.5292 -36.9051 -133.679 -68.7803 -30.7865 -146.884
632000 188.493 25.7003 -95.479 -55.1303 -59.8244 -2.30843
634000 157.07 -71.2848 40.0474 -34.5086 -28.1682 -19.3324
636000 142.259 -197.701 66.3893 -96.7448 63.1719 127.534
638000 222.752 81.4478 19.2696 -41.2169 -76.8086 111.782
640000 446.804 410.704 209.097 13.4896 -82.4761 -0.502419
642000 326.021 117.456 183.764 -14.7936 36.9519 -21.9649
644000 362.169 321.977 202.201 -108.386 -141.841 33.0394
646000 190.017 230.561 113.867 -90.2724 94.3215 -11.0975
648000 277.903 441.31 363.25 26.4424 91.9838 -31.5101
650000 115.665 189.806 134.097 -41.1697 15.5272 130.15
652000 9.53198 136.962 82.405 -19.5755 -15.4636 4.30941
654000 176.658 306.854 311.209 20.4391 16.308 94.6466
656000 -52.5107 134.432 27.7831 -39.387 -70.998 135.686
658000 -101.456 262.935 16.6327 15.2571 -23.6362 68.6786
660000 -155.484 146.128 -33.1747 48.851 1.87055 115.72
662000 65.1992 397.963 310.037 -23.8605 -53.8611 56.2105
664000 97.0257 191.496 231.154 -21.1843 126.83 120.834
666000 92.6286 195.102 -32.5775 101.368 -51.4878 71.2778
668000 -214.24 310.068 -64.6845 114.308 -28.966 -3.51284
670000 47.0002 42.8794 68.2754 138.448 -33.2719 55.351
672000 -113.966 -122.908 -11.4934 40.2735 60.4175 115.016
674000 -157.15 -42.1382 -67.8002 35.1196 66.0147 150.306
676000 -163.848 -7.85859 -35.235 31.0997 136.567 -17.4685
678000 76.9219 50.9832 83.7605 40.7152 76.5212 -29.1715
680000 33.9884 -52.8478 120.063 -62.8226 119.598 54.2782
682000 -168.718 -36.1802 -22.3436 -39.7552 32.0017 -78.2447
684000 43.9715 -97.8404 -85.7571 8.00467 73.6871 -109.646
686000 -0.739267 62.5057 -53.791 102.676 -28.9949 -96.853
688000 -118.211 69.3036 -116.069 96.006 63.9259 -101.836
690000 -10.5509 3.80505 -110.25 28.7954 -13.2309 -48.6227
692000 -274.228 24.4424 18.7258 -128.158 -56.4736 73.2968
694000 -241.962 -141.272 -252.089 57.7182 -39.9855 91.6952
696000 -289.065 18.0186 -134.977 92.0242 -90.6673 120.495
698000 -364.092 -183.817 -161.173 49.1781 -132.314 130.477
700000 -202.904 -148.342 -283.191 13.6546 -62.4911 93.9047
702000 -191.494 -183.605 -97.6497 29.0975 -23.2407 -67.6805
704000 83.9887 194.429 239.381 -112.316 14.3736 41.5538
706000 -46.2473 269.371 323.213 -31.7945 -104.83 39.4604
708000 -259.239 135.283 117.817 -71.6765 -97.6162 -5.46114
710000 -181.155 19.6331 -59.8918 -84.3419 62.1824 -84.5219
712000 56.4441 -38.9752 14.5387 41.2749 -14.8486 -110.977
714000 117.079 -159.597 -93.8675 -141.594 0.786533 -25.1784
716000 303.076 -23.2391 49.8122 -145.446 -57.2449 -46.0726
718000 307.113 152.883 151.013 43.7274 -44.832 15.915
720000 57.4779 -7.85617 73.1536 -131.836 96.407 70.2447
722000 17.4768 79.9634 -36.9179 -225.205 79.6317 54.284
724000 -73.5852 162.748 -5.64613 -17.4207 -36.8042 86.0449
726000 176.835 125.541 298.976 45.9782 66.5126 167.053
728000 303.29 185.187 200.186 77.9756 52.3753 154.777
730000 -5.45604 8.59269 95.1162 116.574 20.9187 72.1288
732000 21.799 63.6758 -85.1723 98.5961 -84.7602 -30.5982
734000 -112.148 -114.43 -359.937 -64.4684 -130.085 -97.8944
736000 97.6058 33.6833 -298.236 17.8509 -20.7344 -26.5306
738000 -250.972 -112.822 -300.192 80.6769 22.5428 51.4815
740000 146.143 118.423 -137.05 30.4187 -22.902 -52.249
742000 34.936 -0.620614 -90.6819 -49.2834 -14.0677 -75.0957
744000 26.9246 -162.658 -32.5247 -158.79 -2.05722 -8.00692
746000 -18.326 -10.7527 62.8669 -103.992 -23.4812 -48.1706
748000 -90.0386 -63.3127 31.2832 -75.8933 -29.2379 -116.402
750000 -156.051 -451.107 -44.4781 -28.7037 -33.7742 -34.9807
