# Time-averaged data for fix fixmsd
# TimeStep c_msd[4]
1580000 621.433
1582000 621.28
1584000 619.624
1586000 620.465
1588000 622.29
1590000 620.052
1592000 624.544
1594000 623.719
1596000 630.552
1598000 628.271
1600000 631.422
1602000 629.776
1604000 631.545
1606000 634.468
1608000 635.241
1610000 635.293
1612000 635.511
1614000 638.831
1616000 642.173
1618000 639.28
1620000 641.063
1622000 643.045
1624000 643.125
1626000 645.021
1628000 644.263
1630000 649.109
1632000 648.531
1634000 651.014
1636000 653.111
1638000 651.37
1640000 655.029
1642000 653.17
1644000 654.849
1646000 653.876
1648000 654.918
1650000 656.135
1652000 652.804
1654000 656.102
1656000 658.684
1658000 655.705
1660000 657.709
1662000 662.567
1664000 662.182
1666000 665.186
1668000 664.895
1670000 667.524
1672000 668.828
1674000 671.158
1676000 671.216
1678000 670.635
1680000 671.237
1682000 671.958
1684000 671.979
1686000 671.387
1688000 667.961
1690000 669.557
1692000 671.583
1694000 670.096
1696000 672.957
1698000 666.887
1700000 667.433
1702000 666.821
1704000 665.064
1706000 665.396
1708000 668.273
1710000 669.072
1712000 672.522
1714000 674.194
1716000 675.859
1718000 677.709
1720000 678.135
1722000 677.561
1724000 680.669
1726000 677.471
1728000 681.942
1730000 681.204
1732000 682.057
1734000 684.706
1736000 685.923
1738000 689.461
1740000 683.892
1742000 684.51
1744000 686.023
1746000 688.023
1748000 689.642
1750000 692.844
1752000 693.181
1754000 692.121
1756000 686.249
1758000 686.079
1760000 687.501
1762000 689.855
1764000 692.37
1766000 694.931
1768000 700.219
1770000 699.692
1772000 698.956
1774000 700.397
1776000 701.498
1778000 703.039
1780000 703.983
1782000 707.341
1784000 711.317
1786000 709.849
1788000 711.788
1790000 713.689
1792000 713.872
1794000 716.214
1796000 712.768
1798000 713.815
1800000 719.716
1802000 719.121
1804000 722.838
1806000 723.187
1808000 729.585
1810000 727.988
1812000 725.762
1814000 727.805
1816000 728.237
1818000 730.224
1820000 728.159
1822000 727.157
1824000 726.006
1826000 728.284
1828000 729.489
1830000 735.622
1832000 730.747
1834000 731.346
1836000 731.984
1838000 732.96
1840000 730.795
1842000 732.459
1844000 737.289
1846000 734.31
1848000 732.69
1850000 736.909
1852000 735.05
1854000 736.936
1856000 732.409
1858000 732.361
1860000 731.929
1862000 729.76
1864000 729.447
1866000 728.277
1868000 725.772
1870000 728.507
1872000 730.424
1874000 727.897
1876000 728.024
1878000 727.029
1880000 727.464
1882000 731.318
1884000 731.229
1886000 732.972
1888000 734.057
1890000 732.368
1892000 729.833
1894000 725.66
1896000 725.066
1898000 725.111
1900000 722.736
1902000 722.874
1904000 723.052
1906000 723.252
1908000 724.988
1910000 726.395
1912000 730.177
1914000 729.002
1916000 730.13
1918000 731.671
1920000 732.745
1922000 735.429
1924000 736.597
1926000 737.135
1928000 735.676
1930000 736.533
1932000 738.463
1934000 738.96
1936000 743.933
1938000 745.727
1940000 748.764
1942000 743.927
1944000 745.759
1946000 744.328
1948000 743.131
1950000 742.254
1952000 742.127
1954000 742.91
1956000 741.051
1958000 740.669
1960000 742.373
1962000 747.038
1964000 745.76
1966000 747.125
1968000 747.423
1970000 746.883
1972000 746.485
1974000 747.767
1976000 750.248
1978000 751.663
1980000 754.873
1982000 757.603
1984000 758.443
1986000 757.443
1988000 758.44
1990000 760.047
1992000 757.88
1994000 760.175
1996000 759.625
1998000 761.133
2000000 760.523
2002000 761.293
2004000 763.399
2006000 762.963
2008000 761.303
2010000 759.839
2012000 762.461
2014000 761.363
2016000 765.813
2018000 765.867
2020000 767.212
2022000 767.653
2024000 768.697
2026000 770.104
2028000 773.441
2030000 776.265
2032000 774.49
2034000 773.309
2036000 775.709
2038000 773.648
2040000 772.848
2042000 774.61
2044000 775.657
2046000 778.264
2048000 775.754
2050000 780.984
2052000 784.699
2054000 785.889
2056000 788.189
2058000 789.264
2060000 790.308
