# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
214000 1.15725e+11 1.05619e+11 7.95495e+10 1.08271e+11 8.3865e+10 8.6344e+10
216000 1.1503e+11 1.04657e+11 7.90821e+10 1.07333e+11 8.32968e+10 8.55972e+10
218000 1.14735e+11 1.03861e+11 7.87914e+10 1.06558e+11 8.301e+10 8.48758e+10
220000 1.15434e+11 1.03794e+11 7.8083e+10 1.0629e+11 8.22885e+10 8.45596e+10
222000 1.14805e+11 1.0408e+11 7.7557e+10 1.05356e+11 8.21556e+10 8.46148e+10
224000 1.13917e+11 1.04032e+11 7.6882e+10 1.04957e+11 8.17597e+10 8.55715e+10
226000 1.1292e+11 1.03147e+11 7.79648e+10 1.04292e+11 8.13338e+10 8.59129e+10
228000 1.12214e+11 1.03874e+11 7.81753e+10 1.03414e+11 8.06975e+10 8.51749e+10
230000 1.11845e+11 1.03843e+11 7.78028e+10 1.04158e+11 8.07357e+10 8.4619e+10
232000 1.11587e+11 1.03969e+11 7.81354e+10 1.0622e+11 8.16545e+10 8.40978e+10
234000 1.1109e+11 1.03103e+11 8.27664e+10 1.05343e+11 8.28514e+10 8.48778e+10
236000 1.10381e+11 1.03091e+11 8.2831e+10 1.04645e+11 8.23782e+10 8.49845e+10
238000 1.13294e+11 1.02391e+11 8.29357e+10 1.03993e+11 8.57457e+10 9.04366e+10
240000 1.15041e+11 1.01546e+11 8.27043e+10 1.04167e+11 8.67879e+10 9.51654e+10
242000 1.14298e+11 1.00741e+11 8.50169e+10 1.04898e+11 8.66755e+10 9.46202e+10
244000 1.15686e+11 1.01427e+11 8.49485e+10 1.06335e+11 8.60216e+10 9.68736e+10
246000 1.15329e+11 1.02522e+11 8.42736e+10 1.06118e+11 8.53625e+10 9.64702e+10
248000 1.15135e+11 1.02094e+11 8.36094e+10 1.05309e+11 8.46824e+10 9.57198e+10
250000 1.14351e+11 1.01559e+11 8.30544e+10 1.04525e+11 8.45893e+10 9.5937e+10
252000 1.13675e+11 1.00765e+11 8.35795e+10 1.04979e+11 8.71875e+10 9.56397e+10
254000 1.12802e+11 1.00155e+11 8.31637e+10 1.04192e+11 8.66068e+10 9.49107e+10
256000 1.12053e+11 9.99227e+10 8.28498e+10 1.03529e+11 8.75705e+10 9.49818e+10
258000 1.11192e+11 1.00164e+11 8.26728e+10 1.03095e+11 8.86461e+10 9.79561e+10
260000 1.10344e+11 9.99967e+10 8.35689e+10 1.02561e+11 8.79699e+10 9.74839e+10
262000 1.0992e+11 9.9384e+10 8.41815e+10 1.01785e+11 8.89128e+10 9.82935e+10
264000 1.0946e+11 9.86414e+10 8.37784e+10 1.01957e+11 9.28329e+10 9.89323e+10
266000 1.08881e+11 9.83958e+10 8.31645e+10 1.02964e+11 9.34283e+10 9.82318e+10
268000 1.08119e+11 9.81677e+10 8.27359e+10 1.04331e+11 9.41466e+10 9.75781e+10
270000 1.07712e+11 1.00433e+11 8.22739e+10 1.08082e+11 9.39027e+10 9.89807e+10
272000 1.07733e+11 1.0003e+11 8.22216e+10 1.11333e+11 9.4752e+10 9.88528e+10
274000 1.07359e+11 9.99325e+10 8.16501e+10 1.12788e+11 9.62025e+10 9.81382e+10
276000 1.06596e+11 9.9386e+10 8.11033e+10 1.12214e+11 9.61227e+10 9.90435e+10
278000 1.06368e+11 9.8831e+10 8.103e+10 1.11447e+11 9.55796e+10 9.83734e+10
280000 1.05898e+11 1.0023e+11 8.07918e+10 1.16573e+11 9.95977e+10 9.77462e+10
282000 1.05165e+11 9.96593e+10 8.03558e+10 1.18724e+11 9.89128e+10 9.96037e+10
284000 1.04461e+11 9.99188e+10 8.04932e+10 1.18931e+11 9.867e+10 9.90286e+10
286000 1.03742e+11 1.00013e+11 7.99563e+10 1.18472e+11 9.8175e+10 9.9427e+10
288000 1.03099e+11 9.93617e+10 7.98494e+10 1.1781e+11 9.78085e+10 9.96443e+10
290000 1.02436e+11 9.88083e+10 7.93384e+10 1.17676e+11 9.72897e+10 9.91481e+10
292000 1.02614e+11 9.81375e+10 8.00638e+10 1.17004e+11 9.81088e+10 9.92092e+10
294000 1.03171e+11 9.80534e+10 7.96641e+10 1.18698e+11 1.00779e+11 9.86012e+10
296000 1.02903e+11 9.74339e+10 7.91294e+10 1.19294e+11 1.03448e+11 9.83599e+10
298000 1.02303e+11 9.84085e+10 7.89927e+10 1.18683e+11 1.0382e+11 9.80669e+10
300000 1.02244e+11 9.77587e+10 7.84841e+10 1.18019e+11 1.03995e+11 9.90537e+10
302000 1.03055e+11 9.71206e+10 7.83431e+10 1.17706e+11 1.03347e+11 9.91605e+10
304000 1.04203e+11 9.73127e+10 7.78418e+10 1.17117e+11 1.03557e+11 9.87793e+10
306000 1.03628e+11 9.90928e+10 7.79851e+10 1.16902e+11 1.0351e+11 9.81406e+10
308000 1.03449e+11 9.84572e+10 7.75804e+10 1.16196e+11 1.02846e+11 9.75312e+10
310000 1.045e+11 9.86972e+10 7.7165e+10 1.15517e+11 1.02201e+11 9.69247e+10
312000 1.07283e+11 9.81459e+10 7.71807e+10 1.14783e+11 1.01552e+11 9.63073e+10
314000 1.07032e+11 9.79199e+10 7.96801e+10 1.1508e+11 1.01345e+11 9.58213e+10
316000 1.06415e+11 9.73419e+10 7.99634e+10 1.16458e+11 1.00732e+11 9.68962e+10
318000 1.0999e+11 9.68234e+10 8.09404e+10 1.18315e+11 1.00647e+11 9.70468e+10
320000 1.11095e+11 9.70366e+10 8.1887e+10 1.19458e+11 1.00067e+11 9.77848e+10
322000 1.10423e+11 9.90551e+10 8.15371e+10 1.18784e+11 9.94589e+10 9.73039e+10
324000 1.09861e+11 9.84502e+10 8.12754e+10 1.18092e+11 1.00337e+11 9.77668e+10
326000 1.09383e+11 9.86464e+10 8.07799e+10 1.17389e+11 9.9725e+10 9.71886e+10
328000 1.1077e+11 9.85558e+10 8.26821e+10 1.1671e+11 9.91219e+10 9.66462e+10
330000 1.10379e+11 9.83616e+10 8.22391e+10 1.16106e+11 9.85336e+10 9.62311e+10
332000 1.09954e+11 9.80192e+10 8.17468e+10 1.15414e+11 9.79444e+10 9.5662e+10
334000 1.10026e+11 9.7519e+10 8.12841e+10 1.15801e+11 9.79899e+10 9.51519e+10
336000 1.09388e+11 9.71757e+10 8.28269e+10 1.17238e+11 9.93762e+10 9.45918e+10
338000 1.09552e+11 9.81972e+10 8.27312e+10 1.17232e+11 9.87931e+10 9.47843e+10
340000 1.08914e+11 9.89536e+10 8.29492e+10 1.16951e+11 9.84278e+10 9.42605e+10
342000 1.08393e+11 9.84933e+10 8.3098e+10 1.16356e+11 9.78575e+10 9.38262e+10
344000 1.07779e+11 9.79309e+10 8.59314e+10 1.15725e+11 9.7321e+10 9.34233e+10
346000 1.07303e+11 9.73682e+10 8.54381e+10 1.15705e+11 9.96287e+10 9.3679e+10
348000 1.06696e+11 9.70935e+10 8.4954e+10 1.15084e+11 1.02164e+11 9.55814e+10
350000 1.06265e+11 9.65499e+10 8.44791e+10 1.1507e+11 1.02096e+11 9.73371e+10
352000 1.05686e+11 9.62474e+10 8.43712e+10 1.14438e+11 1.01587e+11 9.68033e+10
354000 1.0523e+11 9.5813e+10 8.46858e+10 1.13824e+11 1.01106e+11 9.62762e+10
356000 1.04642e+11 9.55398e+10 8.50475e+10 1.1404e+11 1.00548e+11 9.64371e+10
358000 1.04861e+11 9.62858e+10 8.49398e+10 1.13708e+11 1.00427e+11 9.59139e+10
360000 1.04304e+11 9.57884e+10 8.52773e+10 1.13268e+11 1.00111e+11 9.62323e+10
362000 1.03855e+11 9.6011e+10 8.61912e+10 1.12744e+11 9.98037e+10 9.57358e+10
364000 1.03323e+11 9.54925e+10 8.57629e+10 1.13686e+11 9.9749e+10 9.90102e+10
366000 1.03241e+11 9.69801e+10 8.62356e+10 1.13815e+11 1.00286e+11 1.02094e+11
368000 1.03145e+11 1.01739e+11 8.57712e+10 1.132e+11 1.00578e+11 1.0233e+11
370000 1.02599e+11 1.01289e+11 8.5378e+10 1.12597e+11 1.00085e+11 1.01802e+11
372000 1.02258e+11 1.00799e+11 8.49615e+10 1.12163e+11 9.95872e+10 1.01622e+11
374000 1.0174e+11 1.0039e+11 8.49341e+10 1.11605e+11 9.99624e+10 1.01655e+11
376000 1.01431e+11 1.00748e+11 8.51331e+10 1.11286e+11 1.00804e+11 1.01539e+11
378000 1.01199e+11 1.00316e+11 8.46899e+10 1.10776e+11 1.00539e+11 1.01629e+11
380000 1.00817e+11 9.99135e+10 8.43222e+10 1.10491e+11 1.00574e+11 1.02767e+11
382000 1.00978e+11 9.93981e+10 8.41527e+10 1.10391e+11 1.00462e+11 1.02234e+11
384000 1.01164e+11 9.89583e+10 8.42435e+10 1.11168e+11 9.99825e+10 1.03565e+11
386000 1.0096e+11 9.84997e+10 8.43601e+10 1.11675e+11 9.95008e+10 1.03764e+11
388000 1.00617e+11 9.80463e+10 8.39861e+10 1.1264e+11 9.98514e+10 1.03329e+11
390000 1.0112e+11 9.75466e+10 8.35978e+10 1.12586e+11 9.9342e+10 1.03331e+11
392000 1.01656e+11 9.76043e+10 8.43568e+10 1.12673e+11 9.939e+10 1.02812e+11
394000 1.01143e+11 9.76591e+10 8.4084e+10 1.12903e+11 1.01432e+11 1.02784e+11
396000 1.00656e+11 9.74581e+10 8.39271e+10 1.1272e+11 1.00951e+11 1.0247e+11
398000 1.00227e+11 9.7299e+10 8.38015e+10 1.13393e+11 1.00483e+11 1.03656e+11
400000 1.00304e+11 9.70087e+10 8.35145e+10 1.1285e+11 1.0004e+11 1.03149e+11
402000 9.98655e+10 9.65361e+10 8.31018e+10 1.12783e+11 9.95452e+10 1.03151e+11
404000 9.93873e+10 9.63273e+10 8.29479e+10 1.12238e+11 9.91488e+10 1.02685e+11
406000 9.95782e+10 9.58758e+10 8.32401e+10 1.11688e+11 9.86882e+10 1.02198e+11
