# Time-averaged data for fix myat5
# TimeStep f_mysf1[1]
1320000 2.2525
1330000 0.136413
1340000 4.01198
1350000 -0.4481
1360000 -5.23205
1370000 1.16061
1380000 3.1509
1390000 2.93108
1400000 2.01806
1410000 2.5646
1420000 -4.72835
1430000 3.02382
1440000 -1.89475
1450000 0.412709
1460000 -3.42573
1470000 -3.28538
1480000 -0.818004
1490000 1.63526
1500000 -4.35464
1510000 0.711457
1520000 2.18115
1530000 0.152866
1540000 0.801656
1550000 3.10509
1560000 2.06743
1570000 -2.58366
1580000 0.534964
1590000 -3.11862
1600000 -2.43026
1610000 3.07698
1620000 0.156343
1630000 3.70853
1640000 1.9371
1650000 5.612
1660000 2.0429
1670000 -0.382043
1680000 0.633108
1690000 -7.21696
1700000 -3.3657
1710000 -2.23054
1720000 -2.03142
1730000 -6.31577
1740000 -5.23927
1750000 0.81478
1760000 -0.40742
1770000 -3.44347
1780000 1.38712
1790000 3.79915
1800000 -5.83643
1810000 -0.588903
1820000 0.474785
1830000 0.856089
1840000 -3.25463
1850000 0.29635
1860000 0.896749
1870000 -2.55476
1880000 -1.5169
1890000 -2.173
1900000 -4.01197
1910000 -2.83985
1920000 -0.0163367
1930000 3.91899
1940000 1.80926
1950000 -4.61973
1960000 -4.16445
1970000 -0.869699
1980000 -1.54144
1990000 0.397308
2000000 -1.10068
2010000 -2.44685
2020000 4.24896
2030000 -1.83484
2040000 5.55893
2050000 3.81455
2060000 -2.07284
2070000 1.247
2080000 -0.338711
2090000 -4.8738
2100000 1.28245
2110000 2.43783
2120000 -0.216279
2130000 -0.483075
2140000 6.71674
2150000 -5.56083
2160000 -0.435358
2170000 -2.11503
2180000 -0.00483313
2190000 -10.3641
2200000 3.04927
2210000 -0.854504
2220000 -7.23722
2230000 -2.12795
2240000 -1.4247
2250000 -2.78711
2260000 -1.11338
2270000 5.07389
2280000 0.487285
2290000 -0.667948
2300000 -1.04639
2310000 -3.46512
2320000 1.72
2330000 -0.774003
2340000 2.94242
2350000 0.404353
2360000 -0.617927
2370000 -2.05527
2380000 -0.15625
2390000 0.912344
2400000 1.24884
2410000 0.78221
2420000 -0.489422
2430000 4.22274
2440000 -2.30864
2450000 -4.44621
2460000 -1.13588
2470000 -1.18018
2480000 1.1723
2490000 -2.72021
2500000 1.28695
2510000 -1.21063
2520000 3.34906
2530000 -3.09814
2540000 0.57768
2550000 -0.432147
2560000 -0.272485
2570000 0.623647
2580000 2.91705
2590000 -1.21758
2600000 -5.75256
2610000 0.49899
2620000 0.470473
2630000 -0.450109
2640000 1.5583
2650000 3.03565
2660000 0.603065
2670000 -3.40078
2680000 0.770435
2690000 -1.02696
2700000 -2.75353
2710000 -1.03638
2720000 -1.43945
2730000 -4.30912
2740000 2.65727
2750000 -3.07321
2760000 1.99617
2770000 -0.148396
2780000 -0.311751
2790000 -0.183584
2800000 -5.69163
2810000 -1.67456
2820000 1.41234
2830000 0.403884
2840000 -2.3292
2850000 2.14185
2860000 1.96352
2870000 -2.7615
2880000 1.3411
2890000 -0.396509
2900000 -0.709978
2910000 -0.792329
2920000 0.51672
2930000 0.262765
2940000 2.10491
2950000 1.84585
2960000 0.106938
2970000 -2.43091
2980000 -6.14753
2990000 -2.58796
3000000 1.06336
3010000 3.50645
3020000 -1.94635
3030000 -0.601398
3040000 -4.38224
3050000 1.49372
3060000 0.597518
3070000 1.27994
3080000 0.168232
3090000 -1.2031
3100000 3.1566
3110000 -2.27466
3120000 -0.658855
3130000 -1.67541
3140000 3.62175
3150000 -0.717089
3160000 3.85151
3170000 2.35088
3180000 -1.53808
3190000 5.36034
3200000 1.54587
3210000 -1.49169
3220000 0.00181195
3230000 2.44922
3240000 -4.09199
3250000 0.98973
3260000 -3.76741
3270000 -1.48987
3280000 0.0823043
3290000 -0.118847
3300000 -0.801949
3310000 -5.2623
3320000 1.7779
3330000 2.45324
3340000 2.85067
3350000 -0.0897097
3360000 -4.58907
3370000 -1.51823
3380000 -6.72709
3390000 2.12598
3400000 0.605428
3410000 1.47368
3420000 -2.73283
3430000 1.24454
3440000 -4.14422
3450000 -1.79493
3460000 2.50878
3470000 0.0896333
3480000 -3.8693
3490000 3.65755
3500000 -2.76865
3510000 1.50826
3520000 -0.0500838
3530000 -1.54111
3540000 -2.56218
3550000 1.15141
3560000 2.12754
3570000 0.193814
3580000 1.98404
3590000 -3.73294
3600000 -1.46425
3610000 0.492154
3620000 -3.62847
3630000 0.739539
3640000 3.05326
3650000 -4.14682
3660000 0.831694
3670000 -2.97077
3680000 -2.16371
3690000 2.82824
3700000 -0.648249
3710000 -1.36336
3720000 -5.253
3730000 1.07379
3740000 1.60862
3750000 0.334335
3760000 1.78099
3770000 -4.03937
3780000 -2.4199
3790000 -2.62181
3800000 1.55301
3810000 1.29409
3820000 1.90848
3830000 0.261466
3840000 -1.5419
3850000 -7.49527
3860000 0.86931
3870000 0.0612507
3880000 2.72478
3890000 -2.43521
3900000 1.04255
3910000 3.67463
3920000 -2.58262
3930000 2.10753
3940000 2.51574
3950000 6.1164
3960000 -0.857526
3970000 -4.97938
3980000 0.0739299
3990000 2.73644
4000000 -2.31208
