# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
234000 1.00059e+11 8.78019e+10 1.0292e+11 1.08495e+11 1.10782e+11 1.1297e+11
236000 9.94541e+10 8.80409e+10 1.0249e+11 1.08147e+11 1.10028e+11 1.12129e+11
238000 1.00646e+11 8.76179e+10 1.01657e+11 1.0735e+11 1.09184e+11 1.11197e+11
240000 9.98542e+10 8.83189e+10 1.00892e+11 1.08009e+11 1.08327e+11 1.124e+11
242000 9.93486e+10 8.95841e+10 1.00173e+11 1.12871e+11 1.078e+11 1.14705e+11
244000 9.86221e+10 8.94541e+10 1.01163e+11 1.12656e+11 1.08597e+11 1.18317e+11
246000 9.80779e+10 8.89025e+10 1.00455e+11 1.12823e+11 1.07887e+11 1.19447e+11
248000 9.73234e+10 8.88624e+10 9.96812e+10 1.12252e+11 1.07369e+11 1.19846e+11
250000 9.73717e+10 8.81574e+10 1.00911e+11 1.11405e+11 1.06749e+11 1.19373e+11
252000 9.90831e+10 8.74645e+10 1.00321e+11 1.1186e+11 1.05909e+11 1.19723e+11
254000 9.95594e+10 8.7594e+10 1.00553e+11 1.11055e+11 1.05176e+11 1.19114e+11
256000 9.97232e+10 8.90318e+10 1.01405e+11 1.1068e+11 1.04489e+11 1.18306e+11
258000 1.02456e+11 8.84032e+10 1.01115e+11 1.11082e+11 1.03726e+11 1.18235e+11
260000 1.02662e+11 8.86574e+10 1.00549e+11 1.10266e+11 1.06803e+11 1.21934e+11
262000 1.05685e+11 8.92151e+10 1.00039e+11 1.09795e+11 1.06319e+11 1.22391e+11
264000 1.05267e+11 8.90034e+10 9.93621e+10 1.09541e+11 1.05762e+11 1.2154e+11
266000 1.05197e+11 8.84265e+10 9.92196e+10 1.08802e+11 1.05445e+11 1.21568e+11
268000 1.04491e+11 8.79557e+10 9.8613e+10 1.07996e+11 1.06544e+11 1.22602e+11
270000 1.04353e+11 8.738e+10 9.81265e+10 1.07376e+11 1.06401e+11 1.23184e+11
272000 1.04312e+11 8.8193e+10 9.74806e+10 1.066e+11 1.07125e+11 1.23575e+11
274000 1.06634e+11 8.7751e+10 9.69681e+10 1.07008e+11 1.08519e+11 1.2283e+11
276000 1.06647e+11 8.75475e+10 9.62796e+10 1.07473e+11 1.0894e+11 1.21946e+11
278000 1.05885e+11 8.75285e+10 9.55925e+10 1.06864e+11 1.08561e+11 1.22137e+11
280000 1.05471e+11 8.69485e+10 9.60632e+10 1.09139e+11 1.08817e+11 1.21801e+11
282000 1.0473e+11 8.63547e+10 9.53899e+10 1.09543e+11 1.08658e+11 1.21036e+11
284000 1.04181e+11 8.65419e+10 9.49638e+10 1.09736e+11 1.10981e+11 1.20792e+11
286000 1.04612e+11 8.59608e+10 9.43431e+10 1.09189e+11 1.1092e+11 1.20097e+11
288000 1.04548e+11 8.54197e+10 9.46191e+10 1.10474e+11 1.10191e+11 1.21883e+11
290000 1.03863e+11 8.5026e+10 9.45528e+10 1.11898e+11 1.09438e+11 1.23094e+11
292000 1.03475e+11 8.45302e+10 9.45316e+10 1.11839e+11 1.08694e+11 1.22917e+11
294000 1.03279e+11 8.39817e+10 9.41736e+10 1.11128e+11 1.08525e+11 1.22379e+11
296000 1.03325e+11 8.36969e+10 9.35513e+10 1.11166e+11 1.07822e+11 1.22649e+11
298000 1.02877e+11 8.35892e+10 9.43453e+10 1.10492e+11 1.07443e+11 1.21936e+11
300000 1.05026e+11 8.30879e+10 9.50748e+10 1.09996e+11 1.06745e+11 1.21489e+11
302000 1.06639e+11 8.33146e+10 9.45213e+10 1.09683e+11 1.08566e+11 1.21588e+11
304000 1.09218e+11 8.35036e+10 9.4106e+10 1.09032e+11 1.0799e+11 1.20805e+11
306000 1.1031e+11 8.31193e+10 9.36854e+10 1.08325e+11 1.07302e+11 1.20029e+11
308000 1.10553e+11 8.29134e+10 9.32495e+10 1.0777e+11 1.06794e+11 1.1991e+11
310000 1.10912e+11 8.41531e+10 9.30293e+10 1.10344e+11 1.06633e+11 1.20315e+11
312000 1.103e+11 8.39087e+10 9.49039e+10 1.11085e+11 1.05955e+11 1.20912e+11
314000 1.09618e+11 8.40578e+10 9.43045e+10 1.10851e+11 1.05797e+11 1.20148e+11
316000 1.09888e+11 8.51831e+10 9.38192e+10 1.12721e+11 1.05292e+11 1.20837e+11
318000 1.15864e+11 8.5846e+10 9.35648e+10 1.12102e+11 1.04958e+11 1.20824e+11
320000 1.1594e+11 8.61887e+10 9.37489e+10 1.12075e+11 1.04325e+11 1.20537e+11
322000 1.15228e+11 8.63958e+10 9.39832e+10 1.11384e+11 1.03781e+11 1.19895e+11
324000 1.14666e+11 8.60437e+10 9.59918e+10 1.107e+11 1.03226e+11 1.19248e+11
326000 1.14038e+11 8.58372e+10 9.54087e+10 1.10331e+11 1.02618e+11 1.19013e+11
328000 1.13379e+11 8.59277e+10 9.53544e+10 1.09668e+11 1.02166e+11 1.18404e+11
330000 1.12721e+11 8.59196e+10 9.52209e+10 1.09437e+11 1.01798e+11 1.19019e+11
332000 1.12364e+11 8.55977e+10 9.49456e+10 1.10034e+11 1.01201e+11 1.19827e+11
334000 1.14349e+11 8.50882e+10 9.45923e+10 1.10276e+11 1.01592e+11 1.19117e+11
336000 1.17251e+11 8.50175e+10 9.52788e+10 1.09646e+11 1.01023e+11 1.18412e+11
338000 1.16764e+11 8.45178e+10 9.5444e+10 1.10176e+11 1.0155e+11 1.17717e+11
340000 1.16805e+11 8.40238e+10 9.59403e+10 1.09702e+11 1.0201e+11 1.17404e+11
342000 1.16192e+11 8.38365e+10 9.53923e+10 1.11714e+11 1.01422e+11 1.1961e+11
344000 1.15552e+11 8.34292e+10 9.50616e+10 1.11664e+11 1.00942e+11 1.2012e+11
346000 1.15533e+11 8.29576e+10 9.45513e+10 1.11085e+11 1.01071e+11 1.19779e+11
348000 1.15258e+11 8.47664e+10 9.46793e+10 1.10642e+11 1.00513e+11 1.19183e+11
350000 1.14613e+11 8.46832e+10 9.41602e+10 1.10759e+11 1.01532e+11 1.18664e+11
352000 1.14951e+11 8.47296e+10 9.45866e+10 1.11775e+11 1.02162e+11 1.18027e+11
354000 1.14305e+11 8.42662e+10 9.46935e+10 1.1194e+11 1.02154e+11 1.17384e+11
356000 1.13721e+11 8.38527e+10 9.45074e+10 1.11391e+11 1.01793e+11 1.17268e+11
