# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
524000 -4.57118e-08 1.29004e-08 -1.72035e-08 -5.00149e-08
526000 6.24056e-09 -1.92718e-08 -1.05652e-08 -2.35964e-08
528000 -2.84423e-08 -1.92332e-08 -1.29208e-08 -6.05962e-08
530000 1.475e-08 4.78911e-08 -2.32474e-08 3.93937e-08
532000 5.43119e-08 1.08959e-09 -8.52575e-10 5.45489e-08
534000 -1.77024e-08 -1.14985e-10 -1.30357e-08 -3.08531e-08
536000 -1.09346e-08 -2.00454e-08 1.98591e-08 -1.11209e-08
538000 -5.85386e-09 -4.32772e-09 2.51554e-08 1.49738e-08
540000 3.55043e-08 1.91928e-09 3.85206e-09 4.12757e-08
542000 -7.57139e-09 -3.66769e-08 1.24247e-08 -3.18236e-08
544000 1.47466e-08 8.63139e-09 3.10556e-08 5.44336e-08
546000 4.2788e-08 2.0408e-08 -2.66751e-08 3.65208e-08
548000 5.07282e-09 -2.15413e-08 5.12829e-09 -1.13402e-08
550000 6.47155e-09 1.93983e-08 1.6493e-08 4.23629e-08
552000 -6.22305e-08 5.75455e-09 9.10487e-09 -4.73711e-08
554000 8.80468e-09 4.84824e-08 -2.20274e-08 3.52597e-08
556000 4.49518e-09 6.02575e-09 4.29324e-09 1.48142e-08
558000 6.70423e-08 -6.82263e-09 -2.95325e-08 3.06871e-08
560000 -5.69244e-09 -1.43281e-08 -1.07674e-08 -3.0788e-08
562000 3.22247e-08 -1.3352e-08 -1.75886e-08 1.2842e-09
564000 1.57877e-09 -1.13118e-09 8.92178e-09 9.36938e-09
566000 -5.51031e-08 1.41388e-08 -1.10298e-08 -5.19942e-08
568000 3.25984e-08 2.3248e-09 5.09257e-09 4.00158e-08
570000 1.23522e-08 -5.4014e-10 -1.81469e-08 -6.33492e-09
572000 4.47724e-09 -5.08785e-09 2.48439e-08 2.42333e-08
574000 1.267e-08 -9.89358e-10 2.23107e-09 1.39117e-08
576000 -3.19998e-09 -5.15698e-09 -8.69441e-09 -1.70514e-08
578000 3.49833e-08 -1.10015e-08 1.15601e-08 3.55418e-08
580000 1.7218e-08 1.41868e-08 -2.15965e-09 2.92451e-08
582000 -2.26573e-08 -9.75413e-09 5.06202e-08 1.82087e-08
584000 8.56313e-09 -4.09187e-08 -1.18918e-08 -4.42474e-08
586000 -1.29888e-08 1.20907e-08 2.26726e-08 2.17746e-08
588000 -1.72429e-08 -1.04971e-08 -1.89432e-08 -4.66831e-08
590000 6.46083e-08 2.52608e-08 3.23443e-09 9.31036e-08
592000 2.01933e-09 1.25238e-08 -9.40459e-09 5.13855e-09
594000 1.14659e-08 1.49804e-08 1.6406e-08 4.28523e-08
596000 1.89401e-08 -4.33141e-09 1.5324e-08 2.99327e-08
598000 -6.02552e-09 -7.72787e-09 -2.29434e-08 -3.66968e-08
600000 1.81942e-08 -2.56403e-08 2.05806e-08 1.31345e-08
602000 1.86589e-09 -6.07906e-10 -1.83552e-08 -1.70972e-08
604000 -5.97629e-08 -9.93381e-09 -4.94895e-08 -1.19186e-07
606000 2.24074e-08 -1.1651e-09 2.49986e-10 2.14923e-08
608000 3.15719e-08 1.74867e-08 -6.39276e-10 4.84193e-08
610000 -3.09503e-08 6.79995e-10 2.30835e-08 -7.18682e-09
612000 -3.28752e-10 6.44912e-11 6.83491e-09 6.57065e-09
614000 -5.40186e-08 1.6174e-08 1.45865e-08 -2.32581e-08
616000 -7.73655e-09 2.09151e-08 -3.79142e-08 -2.47356e-08
618000 9.56623e-10 1.17105e-08 -8.89621e-09 3.77093e-09
620000 -2.12559e-08 -5.12986e-08 1.43421e-08 -5.82124e-08
622000 -4.05716e-08 1.87728e-08 -8.97386e-09 -3.07726e-08
624000 5.0091e-08 -3.28204e-08 1.80272e-09 1.90733e-08
626000 -1.84483e-08 -2.48e-09 -2.23439e-08 -4.32721e-08
628000 -2.16303e-08 -4.15913e-09 -1.8841e-08 -4.46305e-08
630000 -3.01771e-08 9.0489e-09 2.27117e-08 1.58347e-09
632000 1.90639e-08 -1.51486e-08 5.24707e-08 5.6386e-08
634000 -2.41528e-10 -3.42223e-09 2.33385e-09 -1.3299e-09
636000 3.02866e-08 3.93315e-08 -4.51949e-08 2.44233e-08
638000 -1.70214e-08 2.48806e-08 3.70061e-08 4.48653e-08
640000 -2.41681e-08 2.73138e-08 1.43971e-08 1.75428e-08
642000 1.98624e-09 7.04119e-09 -2.89455e-08 -1.99181e-08
644000 4.40029e-09 1.77953e-09 1.63723e-08 2.25521e-08
646000 3.8297e-08 4.1895e-08 -2.39817e-09 7.77938e-08
648000 -5.57705e-09 -2.75484e-08 3.28405e-08 -2.84984e-10
650000 -4.77709e-08 -2.13761e-08 8.77693e-09 -6.03701e-08
652000 -2.06183e-08 -1.99535e-08 3.03818e-08 -1.01901e-08
654000 6.11202e-08 2.33538e-08 6.41108e-09 9.08851e-08
656000 -3.96179e-09 2.31107e-08 -2.99991e-08 -1.08502e-08
658000 2.47065e-08 -1.71915e-08 -3.25949e-08 -2.508e-08
660000 -9.32962e-09 -2.22148e-08 -3.37528e-08 -6.52973e-08
662000 7.89991e-09 -2.61741e-09 4.07235e-08 4.6006e-08
664000 -3.95905e-09 -1.07456e-08 -2.03159e-08 -3.50206e-08
666000 2.75782e-09 2.57913e-08 -1.565e-09 2.69841e-08
668000 -1.07416e-08 4.07947e-09 -1.68631e-08 -2.35253e-08
670000 -6.45659e-10 -2.50904e-08 -1.79485e-08 -4.36845e-08
672000 -3.83411e-09 2.86969e-09 3.36229e-08 3.26585e-08
674000 1.70211e-08 -1.82221e-09 -8.79038e-09 6.4085e-09
676000 -5.62443e-08 -6.3683e-09 1.20894e-08 -5.05232e-08
678000 7.15223e-08 1.45765e-08 -4.43892e-08 4.17096e-08
680000 -1.52793e-08 -7.89496e-09 3.69699e-09 -1.94773e-08
682000 -1.50809e-08 -2.98396e-09 -3.31015e-09 -2.13751e-08
684000 -1.2455e-10 2.59862e-08 7.98064e-08 1.05668e-07
686000 -3.14189e-08 -2.87106e-08 1.2059e-08 -4.80705e-08
688000 2.32928e-08 1.13117e-08 -5.99532e-08 -2.53488e-08
690000 -2.23347e-08 3.62136e-08 4.04727e-08 5.43516e-08
692000 -3.89393e-09 -2.32185e-08 -1.3246e-09 -2.8437e-08
