# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
648000 26.4424 91.9838 -31.5101 -82.9175 80.4888 2.42871
650000 -41.1697 15.5272 130.15 -30.8575 43.2833 -12.4258
652000 -19.5755 -15.4636 4.30941 -66.7676 60.6622 6.1054
654000 20.4391 16.308 94.6466 -88.2492 41.947 46.3021
656000 -39.387 -70.998 135.686 -89.0789 97.8639 -8.78506
658000 15.2571 -23.6362 68.6786 -160.826 203.564 -42.7381
660000 48.851 1.87055 115.72 -141.307 160.305 -18.9978
662000 -23.8605 -53.8611 56.2105 -192.534 140.23 52.3036
664000 -21.1843 126.83 120.834 -76.1994 18.2708 57.9286
666000 101.368 -51.4878 71.2778 7.57769 110.051 -117.628
668000 114.308 -28.966 -3.51284 -224.621 299.687 -75.0658
670000 138.448 -33.2719 55.351 -5.71813 -9.83892 15.5571
672000 40.2735 60.4175 115.016 -31.1771 -40.1187 71.2958
674000 35.1196 66.0147 150.306 -68.1205 46.8912 21.2293
676000 31.0997 136.567 -17.4685 -94.8675 61.122 33.7455
678000 40.7152 76.5212 -29.1715 6.3667 -19.572 13.2053
680000 -62.8226 119.598 54.2782 0.253681 -86.5825 86.3288
682000 -39.7552 32.0017 -78.2447 -92.971 39.5672 53.4038
684000 8.00467 73.6871 -109.646 90.5135 -51.2984 -39.2151
686000 102.676 -28.9949 -96.853 -3.39772 59.8472 -56.4495
688000 96.006 63.9259 -101.836 -63.2187 124.296 -61.0771
690000 28.7954 -13.2309 -48.6227 28.4477 42.8037 -71.2514
692000 -128.158 -56.4736 73.2968 -197.208 101.462 95.7456
694000 57.7182 -39.9855 91.6952 -30.1877 70.5026 -40.3149
696000 92.0242 -90.6673 120.495 -153.724 153.36 0.363865
698000 49.1781 -132.314 130.477 -127.731 52.5436 75.1874
700000 13.6546 -62.4911 93.9047 8.5748 63.1368 -71.7116
702000 29.0975 -23.2407 -67.6805 -33.9112 -26.0222 59.9334
704000 -112.316 14.3736 41.5538 -88.6109 21.829 66.7819
706000 -31.7945 -104.83 39.4604 -228.36 87.259 141.101
708000 -71.6765 -97.6162 -5.46114 -257.193 137.329 119.864
710000 -84.3419 62.1824 -84.5219 -107.35 93.4375 13.9127
712000 41.2749 -14.8486 -110.977 45.7749 -49.6444 3.8695
714000 -141.594 0.786533 -25.1784 162.541 -114.135 -48.4055
716000 -145.446 -57.2449 -46.0726 193.193 -133.122 -60.071
718000 43.7274 -44.832 15.915 103.443 -50.7871 -52.6563
720000 -131.836 96.407 70.2447 16.5528 -48.7813 32.2285
722000 -225.205 79.6317 54.284 -2.69728 59.7893 -57.092
724000 -17.4207 -36.8042 86.0449 -101.424 134.909 -33.4849
726000 45.9782 66.5126 167.053 -23.6155 -74.9094 98.5249
728000 77.9756 52.3753 154.777 73.7355 -44.3672 -29.3683
730000 116.574 20.9187 72.1288 -38.207 -24.1583 62.3652
732000 98.5961 -84.7602 -30.5982 21.6982 63.5749 -85.2731
734000 -64.4684 -130.085 -97.8944 83.357 81.0746 -164.432
736000 17.8509 -20.7344 -26.5306 153.255 89.3323 -242.587
738000 80.6769 22.5428 51.4815 -29.6433 108.507 -78.8635
740000 30.4187 -22.902 -52.249 103.638 75.9174 -179.555
742000 -49.2834 -14.0677 -75.0957 53.7248 18.1682 -71.893
744000 -158.79 -2.05722 -8.00692 83.0107 -106.572 23.5615
746000 -103.992 -23.4812 -48.1706 -29.5887 -22.0154 51.6041
748000 -75.8933 -29.2379 -116.402 -49.3492 -22.6233 71.9725
750000 -28.7037 -33.7742 -34.9807 61.1611 -233.895 172.734
